AuthorId,DisplayName,OpenAlexId
1,Gregory A. Roth,A5029226649
2,George A. Mensah,A5014290409
3,Catherine O. Johnson,A5012750261
4,Giovanni Addolorato,A5002120873
5,Enrico Ammirati,A5039729003
6,Larry M. Baddour,A5055691879
7,Noël C. Barengo,A5079582130
8,Andrea Beaton,A5054480109
9,Emelia J. Benjamin,A5064309113
10,Catherine P. Benziger,A5089207192
11,Aimé Bonny,A5039698349
12,Michael Bräuer,A5082018855
13,Marianne Brodmann,A5076495125
14,Thomas J. Cahill,A5103260063
15,Jonathan R. Carapetis,A5023976277
16,Alberico L. Catapano,A5091523473
17,Sumeet S. Chugh,A5002927065
18,Leslie T. Cooper,A5050860766
19,Josef Coresh,A5047227825
20,Michael H Criqui,A5108806687
21,Nicole DeCleene,A5113180760
22,Kim A. Eagle,A5101098087
23,Sophia Emmons‐Bell,A5010757111
24,Valery L. Feigin,A5052615582
25,Joaquim Fernández‐Solà,A5091816145
26,Gerry Fowkes,A5009020907
27,Emmanuela Gakidou,A5037038907
28,Scott M. Grundy,A5056794714
29,Feng J. He,A5079064549
30,George Howard,A5088595592
31,Frank B. Hu,A5056459536
32,Lesley A. Inker,A5054296834
33,Ganesan Karthikeyan,A5003441894
34,Nicholas J Kassebaum,A5023196986
35,Walter J. Koroshetz,A5000644127
36,Carl J. Lavie,A5059582018
37,Donald M. Lloyd‐Jones,A5017418373
38,Hong Lü,A5024376952
39,Antonio Mirijello,A5065456103
40,Awoke Misganaw Temesgen,A5101784087
41,Ali H. Mokdad,A5083535850
42,Andrew Moran,A5107950162
43,Paul Muntner,A5079959622
44,Jagat Narula,A5000545244
45,Bruce Neal,A5075162144
46,Mpiko Ntsekhe,A5082069854
47,Glaucia Moraes de Oliveira,A5024866578
48,Catherine M Otto,A5001026049
49,Mayowa Owolabi,A5031904244
50,Michael Pratt,A5089136645
51,Sanjay Rajagopalan,A5022334933
52,Marissa B Reitsma,A5053232907
53,Antônio Luiz Pinho Ribeiro,A5100725966
54,Nancy A. Rigotti,A5088728555
55,Anthony Rodgers,A5015704931
56,Craig Sable,A5062076555
57,Saate Shakil,A5072830684
58,Karen Sliwa‐Hahnle,A5009122078
59,Benjamin Stark,A5111042178
60,Johan Sundström,A5074614812
61,Patrick Timpel,A5026117519
62,Imad M. Tleyjeh,A5083611413
63,Marco Valgimigli,A5032028897
64,Theo Vos,A5007119101
65,Paul K. Whelton,A5049535333
66,Magdi Yacoub,A5034894903
67,Liesl Zühlke,A5056446038
68,Chris Murray,A5025291648
69,Valentı́n Fuster,A5074727212
70,F. Gerry R. Fowkes,A5049378858
71,Ronald Workman,A5012477529
72,Volker Burkert,A5105351811
73,V. Credé,A5107856956
74,E. Klempt,A5073768312
75,U. Thoma,A5068342999
76,L. Tiator,A5089800840
77,Kaustubh Agashe,A5014442537
78,G. Aielli,A5002010790
79,B. C. Allanach,A5020479808
80,C. Amsler,A5107890434
81,M. Antonelli,A5107850670
82,E. C. Aschenauer,A5111661050
83,D. M. Asner,A5057972313
84,Howard Baer,A5069626651
85,Sw. Banerjee,A5115739212
86,R. M. Barnett,A5105468053
87,L. Baudis,A5026384618
88,C. Bauer,A5041819685
89,J. J. Beatty,A5075296538
90,V.I. Belousov,A5044827937
91,J. Beringer,A5072937674
92,A. Bettini,A5106616697
93,O. Biebel,A5105649334
94,K. M. Black,A5111488724
95,E. Blücher,A5109520025
96,R. Bonventre,A5000395194
97,V. Bryzgalov,A5013554131
98,O. Buchmüller,A5107826684
99,M. Bychkov,A5084942142
100,R. N. Cahn,A5025206977
101,Marcela Carena,A5068726686
102,A. Ceccucci,A5106788961
103,A. Cerri,A5007925027
104,R. Sekhar Chivukula,A5048879274
105,G. Cowan,A5106454529
