PaperId,AuthorId,AuthorSequenceNumber
W3113178943,1,first
W3113178943,2,middle
W3113178943,3,middle
W3113178943,4,middle
W3113178943,5,middle
W3113178943,6,middle
W3113178943,7,middle
W3113178943,8,middle
W3113178943,9,middle
W3113178943,10,middle
W3113178943,11,middle
W3113178943,12,middle
W3113178943,13,middle
W3113178943,14,middle
W3113178943,15,middle
W3113178943,16,middle
W3113178943,17,middle
W3113178943,18,middle
W3113178943,19,middle
W3113178943,20,middle
W3113178943,21,middle
W3113178943,22,middle
W3113178943,23,middle
W3113178943,24,middle
W3113178943,25,middle
W3113178943,26,middle
W3113178943,27,middle
W3113178943,28,middle
W3113178943,29,middle
W3113178943,30,middle
W3113178943,31,middle
W3113178943,32,middle
W3113178943,33,middle
W3113178943,34,middle
W3113178943,35,middle
W3113178943,36,middle
W3113178943,37,middle
W3113178943,38,middle
W3113178943,39,middle
W3113178943,40,middle
W3113178943,41,middle
W3113178943,42,middle
W3113178943,43,middle
W3113178943,44,middle
W3113178943,45,middle
W3113178943,46,middle
W3113178943,47,middle
W3113178943,48,middle
W3113178943,49,middle
W3113178943,50,middle
W3113178943,51,middle
W3113178943,52,middle
W3113178943,53,middle
W3113178943,54,middle
W3113178943,55,middle
W3113178943,56,middle
W3113178943,57,middle
W3113178943,58,middle
W3113178943,59,middle
W3113178943,60,middle
W3113178943,61,middle
W3113178943,62,middle
W3113178943,63,middle
W3113178943,64,middle
W3113178943,65,middle
W3113178943,66,middle
W3113178943,67,middle
W3113178943,68,middle
W3113178943,69,middle
W3113178943,1,middle
W3113178943,2,middle
W3113178943,3,middle
W3113178943,4,middle
W3113178943,5,middle
W3113178943,6,middle
W3113178943,7,middle
W3113178943,8,middle
W3113178943,9,middle
W3113178943,10,middle
W3113178943,11,middle
W3113178943,12,middle
W3113178943,13,middle
W3113178943,14,middle
W3113178943,15,middle
W3113178943,16,middle
W3113178943,17,middle
W3113178943,18,middle
W3113178943,19,middle
W3113178943,20,middle
W3113178943,21,middle
W3113178943,22,middle
W3113178943,23,middle
W3113178943,24,middle
W3113178943,25,middle
W3113178943,70,middle
W3113178943,27,middle
W3113178943,28,middle
W3113178943,29,middle
W3113178943,30,middle
W3113178943,31,middle
W2963002078,71,first
W2963002078,72,middle
W2963002078,73,middle
W2963002078,74,middle
W2963002078,75,middle
W2963002078,76,middle
W2963002078,77,middle
W2963002078,78,middle
W2963002078,79,middle
W2963002078,80,middle
W2963002078,81,middle
W2963002078,82,middle
