PaperId,PaperReferenceId
W3113178943,W3092849554
W3113178943,W2989281995
W3113178943,W2576869859
W3113178943,W3092861045
W3113178943,W1980822644
W3113178943,W2899773405
W3113178943,W6776384437
W3113178943,W1986019364
W3113178943,W6760844149
W3113178943,W2204275981
W3113178943,W2969358996
W3113178943,W3002652237
W3113178943,W2910530924
W3113178943,W2803674135
W3113178943,W2959591820
W3113178943,W3009470027
W3113178943,W2129362401
W3113178943,W134174417
W3113178943,W2093629089
W3113178943,W2024896628
W3113178943,W2130007655
W3113178943,W2017729549
W3113178943,W1992020655
W3113178943,W2892371839
W3113178943,W1970042230
W3113178943,W2323812521
W3113178943,W2118953216
W3113178943,W1994085864
W3113178943,W2120536963
W3113178943,W2043558173
W3113178943,W2768267412
W3113178943,W2890689490
W3113178943,W2060217571
W3113178943,W2414889832
W3113178943,W2944467172
W3113178943,W3030103373
W3113178943,W2980309524
W3113178943,W2963423223
W3113178943,W3095732008
W3113178943,W2954508392
W3113178943,W3040346116
W3113178943,W3023134771
W3113178943,W3200652876
W3113178943,W3017021940
W3113178943,W2925419705
W3113178943,W3017749128
W3016902371,W3009885589
W3016902371,W6788322615
W3016902371,W4239370262
W3016902371,W2108845151
W3016902371,W1988558220
W3016902371,W1968380849
W3016902371,W2114280484
W3016902371,W2147335186
W3016902371,W1997092577
W3016902371,W2083254456
W3016902371,W4232964083
W3016902371,W3160761349
W3016902371,W2136946208
W3016902371,W2091069417
W3016902371,W3122318885
W3016902371,W3124896223
W3016902371,W2074355911
W3016902371,W2220496995
W3016902371,W2126304455
W3016902371,W2112818819
W3016902371,W3124103613
W3016902371,W2145885996
W3016902371,W6682040155
W3016902371,W103269586
W3016902371,W1495198430
W3016902371,W2050580556
W3016902371,W2971921871
W3016902371,W4256544203
W3016902371,W2125241848
W3016902371,W2790102739
W3016902371,W2296577595
W3016902371,W3010642434
W3016902371,W2046950511
W3016902371,W2019466874
W3016902371,W2057963968
W3016902371,W2793535696
W3016902371,W108396202
W3016902371,W1489052250
W3016902371,W1591879769
W3016902371,W2096563449
W3016902371,W2112204913
W3016902371,W2622269754
W3016902371,W141430544
W3016902371,W2147478345
W3016902371,W2043278939
W3016902371,W2016935525
W3016902371,W2171018098
W3016902371,W2140095656
W3016902371,W2164487624
W3016902371,W2033198212
W3016902371,W2758069137
W3016902371,W2561874311
W3016902371,W2100862548
W3016902371,W4210952414
W3016902371,W2810062544
W3016902371,W4205815507
W3016902371,W2951725337
W3016902371,W1997733761
W3016902371,W2109469951
W3016902371,W2028663935
W3016902371,W2064869822
W3016902371,W1989403579
W3016902371,W1493174140
W3016902371,W3122922095
W3016902371,W6789244645
W3016902371,W2097780989
W3016902371,W2142544020
W3016902371,W2890772240
W3016902371,W2790247415
W3016902371,W2591813817
W3016902371,W2962969199
W3016902371,W2161411308
W3016902371,W2763678018
W3016902371,W6745094605
W3016902371,W1990470606
W3016902371,W652324315
W3016902371,W2744228948
W3016902371,W2904152473
W3016902371,W4246780759
W3016902371,W2173132378
W3016902371,W2788912419
W3016902371,W1686065478
W3016902371,W2226773660
W3016902371,W2656044294
W3016902371,W2974505787
W3016902371,W2799430063
W3016902371,W2969496492
W3016902371,W2056426645
W3016902371,W4315749276
W3016902371,W2036887796
W3016902371,W2601886268
W3016902371,W2731369199
W3016902371,W2530554041
W3016902371,W2016520072
W3016902371,W2111693657
W3016902371,W2327590731
W3016902371,W2920857031
W3016902371,W3000531909
W3016902371,W2921460679
W3016902371,W2608099398
W3016902371,W2962740444
W3016902371,W6685397340
W3016902371,W3014767596
W3016902371,W2582561810
W3016902371,W2910027323
W3016902371,W1428768901
W3016902371,W2116926372
W3016902371,W2900230278
W3016902371,W2952295880
W3016902371,W2142966564
W3016902371,W3206285951
W3016902371,W3126124149
W3016902371,W4232317699
W3016902371,W1028815282
W3016902371,W2580779885
W3016902371,W2144729414
W3016902371,W2998952654
W3016902371,W2952813692
W3016902371,W3027404439
W3016902371,W3121274724
W3016902371,W3122883818
W3016902371,W2800525135
W3016902371,W4249934906
W3016902371,W2998076808
W3016902371,W2913081045
W3016902371,W2913284693
W3016902371,W2071677582
W3016902371,W1539896512
W3016902371,W2012300024
W3016902371,W2515179900
W3016902371,W2156492595
W3016902371,W2996728347
W3016902371,W2089347171
W3016902371,W2774167246
W3016902371,W2914105364
W3016902371,W2746361412
W3016902371,W1998897131
W3016902371,W3121939272
W3016902371,W2902092972
W3016902371,W1992997851
W3016902371,W2155109332
W3016902371,W2343581538
W3016902371,W2123791568
W3016902371,W4236142606
W3016902371,W13376157
W3016902371,W2496781944
W3016902371,W4252665401
W3016902371,W1594248649
W3016902371,W2030747588
W3016902371,W2012754412
W3016902371,W2004227622
W3016902371,W2896252141
W3016902371,W6755646343
W3016902371,W3121353240
W3016902371,W2488063483
W3016902371,W2903305938
W3016902371,W2851355811
W3016902371,W2045958041
W3016902371,W2006469409
W3016902371,W2133646840
W3016902371,W2167052337
W3016902371,W2023023761
W3016902371,W2151577809
W3016902371,W2167062553
W3016902371,W2883869975
W3016902371,W2294583806
W3016902371,W2109481690
W3016902371,W2047022086
W3016902371,W2121067707
W3016902371,W2013218718
W3016902371,W2968470688
W3016902371,W3125314754
W3016902371,W3125470894
W3016902371,W3002389368
W3016902371,W2556150811
W3016902371,W2399078464
W3016902371,W2924370385
W3016902371,W2431687448
W3016902371,W2111040314
W3016902371,W4298432696
W3016902371,W1967659849
W3016902371,W2098038440
W3016902371,W2155083800
W3016902371,W2157704368
W3016902371,W2558157296
W3016902371,W2250520297
W3016902371,W2129671918
W3016902371,W2170007928
W3016902371,W2026328669
W3016902371,W2119548570
W3016902371,W2566484759
W3016902371,W3005265508
W3016902371,W1872162015
W3016902371,W2081155210
W3016902371,W1559927942
W3016902371,W7071019263
W3016902371,W2765567867
W3016902371,W2154480377
W3016902371,W2799559973
W3016902371,W2883829232
W3016902371,W6848878683
W3016902371,W2168289525
W3016902371,W2048168755
W3016902371,W2602526266
W3016902371,W2086335346
W3016902371,W2154552039
W3016902371,W2765808856
W3016902371,W2803162784
W3016902371,W3006659024
W3016902371,W2001369088
W3016902371,W6650638688
W3016902371,W2126470463
W3016902371,W2520734355
W3016902371,W1978019571
W3016902371,W3003084472
W3016902371,W2790642428
W3016902371,W2015107972
W3016902371,W2021277514
W3016902371,W2028573458
W3016902371,W2033002423
W3016902371,W2582162411
W3016902371,W2102772752
W3016902371,W1992235189
W3016902371,W2487519669
W3016902371,W2505055301
W3016902371,W2920973044
W3016902371,W4251625459
W3016902371,W2126663141
W3016902371,W2402031970
W3016902371,W1495162386
W3016902371,W3013776575
W3016902371,W2921903484
W3016902371,W2023945620
W3016902371,W3083723331
W3016902371,W2140467031
W3016902371,W2955653586
W3016902371,W3033678240
W3016902371,W2761287096
W3016902371,W2891092519
W3016902371,W2999682719
W3016902371,W1603985812
W3016902371,W1986762259
W3016902371,W4285719527
W3016902371,W3013892007
W3016902371,W2798304687
W3016902371,W1954045752
W3016902371,W1481908410
W3016902371,W1773570525
W3016902371,W88709113
W3016902371,W1756842549
W3016902371,W1518146043
W3016902371,W1967430235
W3016902371,W1566702655
W3016902371,W2185450959
W3016902371,W2302305491
W3016902371,W3092959302
W3022285953,W3003217347
W3022285953,W3001465255
W3022285953,W3001897055
W3022285953,W2306794997
W3022285953,W3008491765
W3022285953,W3000413850
W3022285953,W3014708904
W3022285953,W3009912996
W3022285953,W2060295594
W3022285953,W3003464757
W3022285953,W311927316
W3022285953,W2023124677
W3022285953,W1996076856
W3022285953,W3026002191
W3022285953,W3006476224
W3022285953,W3009584253
W3022285953,W2950512597
W3022285953,W2919573452
W3022285953,W2886931860
W3022285953,W2125525438
W3022285953,W2992289201
W3022285953,W2083897424
W3022285953,W2156948997
W3022285953,W2171167766
W3022285953,W2758094822
W3022285953,W2559991600
W3022285953,W2133422078
W3022285953,W2953394889
W3022285953,W2038062029
W3022285953,W2153593258
W3022285953,W2011766905
W3022285953,W2885573416
W3022285953,W2953886398
W3022285953,W2518706921
W3022285953,W2771361969
W3022285953,W2133416744
W3022285953,W1971214320
W3022285953,W2904824676
W3022285953,W2242410361
W3022285953,W1984620273
W3022285953,W2076194625
W3022285953,W3001038414
W3022285953,W2123647733
