PaperId,Title,Year,CitationCount,FieldsOfStudy
W3113178943,"Global Burden of Cardiovascular Diseases and Risk Factors, 1990–2019",2020,9702,General
W2963002078,Review of Particle Physics,2022,5934,Computer Science
W3108284800,Review of Particle Physics,2020,5077,General
W3016902371,Using social and behavioural science to support COVID-19 pandemic response,2020,4910,General
W3022285953,A SARS-CoV-2 protein interaction map reveals targets for drug repurposing,2020,4709,Computer Science
W4200150166,NeRF,2021,4544,Computer Science
W3208645186,Sample sizes for saturation in qualitative research: A systematic review of empirical tests,2021,4293,General
W3025320502,Targets of T Cell Responses to SARS-CoV-2 Coronavirus in Humans with COVID-19 Disease and Unexposed Individuals,2020,3939,General
W3004480399,The repertoire of mutational signatures in human cancer,2020,3401,General
W4283271244,The 5th edition of the World Health Organization Classification of Haematolymphoid Tumours: Myeloid and Histiocytic/Dendritic Neoplasms,2022,3359,General
W3006500278,Pan-cancer analysis of whole genomes,2020,3033,General
W4220999759,The complete sequence of a human genome,2022,2968,General
W3121008609,Immunological memory to SARS-CoV-2 assessed for up to 8 months after infection,2021,2930,General
W4381681857,A multisociety Delphi consensus statement on new fatty liver disease nomenclature,2023,2323,General
W3045910546,Expanded encyclopaedias of DNA elements in the human and mouse genomes,2020,2300,General
W3115410759,STRIDE-II: An Update on the Selecting Therapeutic Targets in Inflammatory Bowel Disease (STRIDE) Initiative of the International Organization for the Study of IBD (IOIBD): Determining Therapeutic Goals for Treat-to-Target strategies in IBD,2021,2295,General
W4381893710,A multisociety Delphi consensus statement on new fatty liver disease nomenclature,2023,2166,General
W3016840787,Guidelines and definitions for research on epithelial–mesenchymal transition,2020,2121,General
W3132240972,"Reactive astrocyte nomenclature, definitions, and future directions",2021,2104,General
W4360600181,"Prevalence and Characteristics of Autism Spectrum Disorder Among Children Aged 8 Years — Autism and Developmental Disabilities Monitoring Network, 11 Sites, United States, 2020",2023,2103,General
W3110151578,Parameterizing neural power spectra into periodic and aperiodic components,2020,2005,Computer Science
W3024570138,NetMHCpan-4.1 and NetMHCIIpan-4.0: improved predictions of MHC antigen presentation by concurrent motif deconvolution and integration of MS MHC eluted ligand data,2020,2001,General
